id,partner,alcon_id,created_at,skus
53950,kb-12,fad23932556ab1e68da2f4219e403cd0,2024-07-23 00:46:03,"[{""id"": 69, ""brand"": ""TOTAL30"", ""quantity"": ""2"", ""size"": 3}]"
53951,kb-12,a267ddd013ff353cd39168f982539521,2024-07-23 01:02:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53952,kb-12,25feaa54c20a85407be652de566964be,2024-07-23 01:02:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53953,kb-12,1b7297b1bba6d77eb9be0a37acc4b6c3,2024-07-23 01:02:04,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53954,kb-12,212a21782c868facb5b1ecd588b3773c,2024-07-23 01:02:05,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53955,kb-12,ae21b059efb027416068d135f0e85e5e,2024-07-23 01:06:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53956,kb-12,b795e74c8eee5151c6b0370d5a2f8091,2024-07-23 01:13:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53957,kb-12,9706bc0f600cdf865019e97f691ee363,2024-07-23 01:26:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53958,kb-12,39fd6ee9198de0e0ca6accc592c68a1f,2024-07-23 01:31:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""4"", ""size"": 30}]"
53959,kb-12,3a42340999a730925baebb654ebfb140,2024-07-23 01:47:02,"[{""id"": 4, ""brand"": ""Dailies Total1 \u041c\u0443\u043b\u044c\u0442\u0438\u0444\u043e\u043a\u0430\u043b\u044c\u043d\u044b\u0435"", ""quantity"": ""1"", ""size"": 30}]"
