id,partner,alcon_id,created_at,skus
53075,bcom,fe00a298f05b8a47be8555536fb9bcb6,2024-07-12 10:01:01,"[{""id"": 56, ""brand"": ""\u0421\u0438\u0441\u0442\u0435\u0439\u043d \u0423\u043b\u044c\u0442\u0440\u0430"", ""quantity"": 1, ""size"": 3}]"
53076,bcom,e1827a6c073b70b69d5423ee6cd81204,2024-07-12 10:01:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53077,bcom,b9c0b7058ce3479ba6387bba0fbeab7f,2024-07-12 10:01:05,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53078,bcom,05dc67b29ac39577a3f746ed18c608fb,2024-07-12 10:01:07,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53079,bcom,25b6d0107eb576871d29b23dcf8c9b04,2024-07-12 10:01:10,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53080,bcom,003b36fa0c11bffb6a7cb97b21e2bb3b,2024-07-12 10:01:14,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53081,bcom,07a71e0d3e8226cf2a86161d3c699d9a,2024-07-12 10:01:16,"[{""id"": 3, ""brand"": ""Air Optix Aqua"", ""quantity"": 1, ""size"": 3}]"
53082,bcom,cba37816049fa98471008c9ab19e9963,2024-07-12 10:01:18,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}, {""id"": 55, ""brand"": ""\u0421\u0438\u0441\u0442\u0435\u0439\u043d \u0423\u043b\u044c\u0442\u0440\u0430"", ""quantity"": 1, ""size"": 15}]"
53083,bcom,116eb7244ddaddf2f8fbc7ccb8fbc9f5,2024-07-12 10:01:23,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53084,bcom,678d22bd957bc87e3d3ee5a482e80626,2024-07-12 10:01:25,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
